CONFIG	days	10000	calibration	1	schedule	1	seed	20260828	action_bps	1200	main_base	50000	esc_hands	3	esc_cap	4294967295	dont_profit_ratio	3/4	boosted_shooters_pct	0	winnings_boost_pct	0	winnings_boost_mode	all	random_shooters_pct	15	picked_shooters_pct	5	random_goal_shooters_pct_5_20	15,15	picked_goal_shooters_pct_5_20	5,5	random_winnings_pct	0	picked_winnings_pct	0	random_winnings_jitter_pct	0	picked_winnings_jitter_pct	0	random_goal_bps_5_20	3300,4500	picked_goal_bps_5_20	2000,5000
PROPOSED_RULES	high_water_goal	1	peak_jackpot_table	25x_120x__50x_225x	customs	excluded_legacy_product
DONT_PASS	profit_ratio	3/4	random_ticket_edge_pct_5_20	11.897058,11.231526	picked_ticket_edge_pct_5_20	13.357532,12.802922
POPULATION_HEADER	composition	heads	goal	fields	seats	engine_edge_pct	goal_seat_pct	all_bust_field_pct	random_winner_pct	picked_winner_pct	bounty_winner_pct	common_field_pct	rare_field_pct	common_per_entry_pct	rare_per_entry_pct	winner_peak_p95_x	winner_peak_p995_x	qualified_peak_p95_x	qualified_peak_p995_x	ending_p50_x	ending_p99_x	max_peak_x	max_ending_x	mean_hands	hands_p99	max_hands	mean_rolls	rolls_p99	max_rolls	mean_work_units	work_p99	max_work_units	cap_seat_pct	record_floor_x	record_hits	first_year_record_hits	final_record_x	dice_only_record_paid	dice_only_record_pool_end
POPULATION	all_bankroll_pick	20	20	25000	500000	21.832447	2.931400	87.648000	0.000000	100.000000	0.000000	2.132000	0.276000	0.106600	0.013800	32.653300	144.426600	121.210000	565.960000	0.000000	25.033300	10865.520000	2838.800000	8.278736	19	45	70.507768	212	536	18.511278	46	102	0.000000	100	9	5	10865.520000	6182252	971748
POPULATION	all_bankroll_pick	40	5	12500	500000	17.053393	12.290400	61.896000	0.000000	100.000000	0.000000	2.552000	0.240000	0.063800	0.006000	16.656000	78.704000	31.202600	138.184000	0.000000	8.166600	1494.514000	675.333300	7.676502	15	37	65.518360	173	454	18.236568	41	88	0.000000	100	2	2	1494.514000	12285	3569715
POPULATION	all_bankroll_pick	40	20	12500	500000	20.432280	2.948800	84.488000	0.000000	100.000000	0.000000	2.880000	0.360000	0.072000	0.009000	39.540000	187.120000	125.520000	767.646600	0.000000	24.966600	15874.000000	4405.200000	8.313940	19	45	70.947788	216	536	18.584810	47	102	0.000000	100	8	6	15874.000000	1967606	1614394
POPULATION	all_bankroll_pick	80	5	6250	500000	15.082587	12.168400	57.136000	0.000000	100.000000	0.000000	3.040000	0.480000	0.038000	0.006000	19.630000	112.512000	36.313300	258.133300	0.000000	8.166600	8949.537300	3488.200000	7.712660	15	45	66.118944	171	496	18.329038	41	95	0.000000	100	6	5	8949.537300	872528	923472
POPULATION	all_bankroll_pick	80	20	6250	500000	13.494373	3.192200	79.968000	0.000000	100.000000	0.000000	4.320000	0.528000	0.054000	0.006600	49.066600	229.873300	140.700000	748.400000	0.000000	25.500000	2481.760000	1478.233300	8.345268	19	39	71.496398	219	438	18.688738	48	86	0.000000	100	2	1	2481.760000	582150	1213850
POPULATION	all_bankroll_pick	160	5	3125	500000	18.881293	12.012400	52.736000	0.000000	100.000000	0.000000	4.256000	0.480000	0.026600	0.003000	23.776000	117.658600	41.018600	211.860000	0.000000	8.233300	3165.930600	1527.533300	7.659230	15	40	65.044418	176	478	18.148190	42	92	0.000000	100	5	5	3165.930600	247440	656560
POPULATION	all_bankroll_pick	160	20	3125	500000	28.849920	2.538600	77.696000	0.000000	100.000000	0.000000	5.312000	0.672000	0.033200	0.004200	57.620000	261.213300	157.160000	670.600000	0.000000	24.600000	10812.920000	3007.800000	8.262230	19	46	71.031046	208	538	18.574372	45	102	0.000000	100	9	8	10812.920000	675573	228427
POPULATION	half_random_half_bankroll_pick	1	5	200000	200000	18.719967	11.789000	88.211000	100.000000	0.000000	0.000000	0.251000	0.027500	0.251000	0.027500	6.521100	18.153300	16.806400	66.049100	0.000000	8.600000	2037.794800	815.833300	8.062270	15	37	68.622630	174	480	18.727880	41	93	0.000000	100	4	0	2037.794800	4387230	52766770
POPULATION	half_random_half_bankroll_pick	1	20	200000	200000	17.647117	2.909000	97.091000	100.000000	0.000000	0.000000	0.255000	0.031000	0.255000	0.031000	12.021000	37.840000	72.933000	379.634000	0.000000	25.700000	3601.846600	2424.933300	8.700565	19	42	74.170855	217	458	19.119985	47	89	0.000000	100	6	0	3601.846600	35988587	21165413
POPULATION	half_random_half_bankroll_pick	2	5	200000	400000	19.112625	11.947750	81.506500	54.349000	45.651000	0.000000	0.520500	0.048500	0.260250	0.024250	8.186600	26.935100	18.800000	81.085300	0.000000	8.300000	1630.126400	585.466600	7.873395	15	37	67.127740	173	502	18.488540	41	96	0.000000	100	5	1	1630.126400	8670673	48483327
